,name,rqfactor,meaning,category,category_meaning,source,is_proper
0,EPS,"rqdatac.current_performance(order_book_id, info_date, quarter, interval, ""basic_eps"")",基本每股收益,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
1,PB,"rqdatac.get_factor(order_book_id, ""pb_ratio_ttm"", start_date, end_date)",市净率ttm,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
2,PS,"rqdatac.get_factor(order_book_id, ""ps_ratio_ttm"", start_date, end_date)",市销率ttm,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
3,PE,"rqdatac.get_factor(order_book_id, ""pe_ratio_ttm"", start_date, end_date)",市盈率,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
4,EV,"rqdatac.get_factor(order_book_id, ""ev_ttm"", start_date, end_date)",企业价值ttm,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
5,DEBT_TO_ASSETS,"rqdatac.get_factor(order_book_id, ""debt_to_asset_ratio_ttm"", start_date, end_date)",资产负债率,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
6,DEBT_TO_EQUITY,"rqdatac.get_factor(order_book_id, ""debt_to_equity_ratio_ttm"", start_date, end_date)",权益负债率,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
7,CURRENT_RATIO,"rqdatac.get_factor(order_book_id, ""current_ratio_ttm"", start_date, end_date)",流动比率,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
8,QUICK_RATIO,"rqdatac.get_factor(order_book_id, ""quick_ratio_ttm"", start_date, end_date)",速动比率,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
9,ASSET_TURNOVER,"rqdatac.get_factor(order_book_id, ""total_asset_turnover_ttm"", start_date, end_date)",总资产周转率,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
